Key,russian
uiWeaponsMelee,"Оружие ближнего боя"
uiWeaponsMeleeAndTools,"Оружие ближнего боя и инструменты"
uiWeaponsRanged,"Оружие дальнего боя"
uiWeight,"Вес"
uiWorkstationNotEmpty,"Верстак не пустой"
uiServerVersionMissmatch,"Версия Undead Legacy клиента не соответствует версии сервера"
uiServerVersionUnknown,"[ff0000]Неизвестный[-]"
statAccuracy,"Точность"
statAlcohol,"Алкоголь"
statAlcoholMax,"Алкоголь максимум"
statArmorRating,"Рейтинг брони"
statAttackSpeed,"Скорость атаки"
statAttacksPerMinute,"Скорость атаки"
statBattery,"Аккумулятор"
statBlockDamage,"Урон блокам"
statBlocksLight,"Блокирует свет"
statBurnTime,"Время горения"
statCarbs,"Углеводы"
statCarbsMax,"Максимум углеводов"
statCondition,"Состояние"
statCharges,"Заряды"
statCoreTemp,"Температура тела"
statCraftingTier,"Уровень ремесла"
statCraftingTime,"Время создания"
statCraftingSpeed,"Скорость изготовления"
statCurrentLife,"Текущая жизнь"
statDamage,"Урон"
statDeaths,"Смерти"
statDismemberChance,"Шанс расчленения"
statDurability,"Прочность"
statDurabilityMax,"Максимум прочности"
statDurabilityUse,"Множитель износостойкости"
statEfficiency,"Эффективность"
statTravelled,"Пройдено"
statDysenteryChance,"Риск дизентерии"
statEncumbered,"Перегрузка"
statEncumbrance,"Перегрузка"
statEncumbranceBonus,"Дополнительная вместимость"
statEnemySearchDuration,"Время поиска врагом"
statExpRate,"Бонус опыта"
statExpToNextLevel,"След ур."
statFat,"Жир"
statFatMax,"Максимум жира"
statFireRate,"Скорострельность"
statFood,"Еда"
statFoodMax,"Максимум еды"
statFoodRate,"Скорость сжигания еды"
statFuel,"Топливо"
statGas,"Бензин"
statHandling,"Управление"
statHarvestChance,"Шанс доп. добычи"
statHealing,"Исцеление"
statHealth,"Здоровье"
statHealthMax,"Максимум здоровья"
statHealthRegen,"Реген. здоровья"
statItemsCrafted,"Создано предметов"
statJumpStrength,"Высота прыжка"
statKilledPlayers,"Убито игроков"
statKilledZombies,"Убито зомби"
statLoad,"Нагрузка"
statLockpicking,"Взлом замков"
statLockpickDurability,"Прочность отмычки"
statLongestLife,"Самая длинная жизнь"
statLootStage,"Этап добычи"
statMagazineSize,"Размер магазина"
statMaxFoodWaterBonus,"Макс. еда/вода"
statMaxHealthBonus,"Макс. здоровье"
statMaxStaminaBonus,"Макс. выносливость"
statMobility,"Мобильность"
statModificationSlots,"Ячейка"
statPoisonChance,"Шанс отравится едой"
statPoisonCure,"Лечение от яда"
statPower,"Электричество"
statPowerAttack,"Силовая атака"
statPowerEfficiency,"Энергоэффективность"
statProtein,"Протеин"
statProteinMax,"Максимум Протеина"
statRange,"Диапазон"
statRecoil,"Отдача"
statRangerDamage,"Урон рейнджера"
statRangerReloadSpeed,"Перезарядка рейнджера"
statReloadSpeed,"Скорость перезарядки"
statPistolReloadSpeed,"Скорость пер-ки пистолета"
statResistBleeding,"Стойкость к кровотечению"
statResistCold,"Сопротивление холоду"
statResistDiseases,"Стойкость к болезням"
statResistFallDamage,"Снижение урона от падения"
statResistHeat,"Сопротивление жаре"
statResistPhysical,"Физическое сопротивление"
statResistPoison,"Стойкость к ядам"
statResistRadiation,"Стойкость к радиации"
statResistStun,"Сопротивление оглушению"
statResistToxic,"Стойкость к токсинам"
statRoundsPerMinute,"Скорострельность"
statStamina,"Выносливость"
statStaminaMax,"Максимум выносливости"
statTraderStage,"Уровень торговли"
statMeleeStaminaUse,"Расход выносливости в ближнем бою"
statStaminaRegen,"Реген. выносливости"
statStopsBleeding,"Останавливает кровотечения"
statStopsLaceration,"Сшивает рваные раны"
statStopsBrokenLimbs,"Заживляет сломанные конечности"
statTreasureRadius,"Радиус сокровищ"
statVehicleDamageGiven,"Повышение наносимого урона"
statVehicleDamageTaken,"Снижение получаемого урона"
statVitamins,"Витамины"
statVitaminsMax,"Максимум витаминов"
statWater,"Вода"
statWaterMax,"Максимум воды"
statWaterRate,"Интенсивность сжигания воды"
statWeaponDamageAll,"Урон оружия"
statWeaponDamageArchery,"Урон луков/арбалетов"
statWeaponDamageAxe,"Урон топоров по существам"
statWeaponDamageBaton,"Урон дубинок"
statWeaponDamageBlade,"Урон клинкового оружия"
statWeaponDamageBlunt,"Урон дробящего оружия"
statWeaponDamageBow,"Урон луков"
statWeaponDamageCrossbow,"Урон арбалетов"
statWeaponDamageGrenade,"Урон гранат"
statWeaponDamageLauncher,"Урон пусковых установок"
statWeaponDamageMachineGun,"Урон автоматического оружия"
statWeaponDamageMelee,"Урон оружия ближнего боя"
statWeaponDamageMining,"Урон горных инструментов"
statWeaponDamageDigging,"Урон землеройных инструментов"
statWeaponDamagePistol,"Урон пистолетов"
statWeaponDamagePolearm,"Урон древкового оружия"
statWeaponDamageRanged,"Урон дальнобойного оружия"
statWeaponDamageRadiated,"Урон по радиоактивным"
statWeaponDamageRevolver,"Урон револьверов"
statWeaponDamageRifle,"Урон винтовок"
statWeaponDamageSniperRifle,"Урон снайперских винтовок"
statWeaponDamageSMG,"Урон ПП"
statWeaponDamageShotgun,"Урон дробовиков"
statWeaponDamageUndead,"Урон по нежити"
statWeight,"Вес переноски"
statWeightMax,"Лимит веса переноски"
statWellness,"Здоровый образ жизни"
statWellnessMax,"Здоровый образ жизни максимум"
statWellnessRate,"Здоровый образ жизни рейтинг"
tt_belongs_to_other_player,"Это принадлежит кому-то другому"
tt_empty_before_pickup,"Перед тем как поднять его, он должен быть пустым."
tt_container_is_full,"Он заполнен, вы не можете добавить больше."
tt_not_enough_substance,"Этого недостаточно, чтобы заполнить этот предмет."
tt_no_compatible_items,"У меня в руке нет ничего совместимого, чтобы с ним взаимодействовать."
ttJunkDroneEmptySomeStorage,"Удалите предметы из хранилища дрона в последнем ряду, чтобы заменить или удалить эту модификацию."
type1hAxes,"Одноручный топор"
type1hBlades,"Одноручный клинок"
type1hBlunt,"Одноручная дубинка"
type1hKnives,"Одноручный нож"
type2hAxes,"Двуручный топор"
type2hMelee,"Двуручное оружие ближнего боя"
type4x4,"Машина | Транспорт"
typeadvBuilding,"Продвинутый"
typeAccessory,"Аксессуар"
typeAmmo,"Боеприпасы"
typeAmmoWeapons,"Патроны/Оружие"
typeAmmunition,"Амуниция"
typeApparel,"Одежда"
typeAppliance,"Бытовая техника"
typeArmor,"Броня"
typeAutomotive,"Авто"
typeBackpacks,"Рюкзак"
typeBasics,"Основные"
typeBatons,"Жезлы"
typeBeams,"Балка"
typeBeds,"Кровать"
typeBelt,"Пояс"
typeBicycles,"Велосипед | Транспорт"
typeBladeLong,"Длинный меч"
typeBladeShort,"Короткий меч"
typeBlunt,"Тупое"
typeBluntLong,"Длинное тупое"
typeBluntShort,"Короткое тупое"
typeBlocks,"Блок"
typeBooks,"Книга"
typeBows,"Лук"
typeBuilding,"Строительство"
typeBundles,"Набор предметов"
typeCandy,"Конфеты"
typeCannedFood,"Консервы"
typeCars,"Авто | Транспорт"
typeCatwalks,"Подиум"
typeCFChemicals,"Химия"
typeCFDrinkCooking,"Напиток"
typeCFFoodCooking,"Еда"
typeChemicals,"Химия"
typeChemicalComposite,"Хим. компонент"
typeClothing,"Одежда"
typeClubs,"Дубинка"
typeCollectors,"Сборщик ресурсов"
typeConsumables,"Расходные материалы"
typeConstructionTools,"Строительный инструмент"
typeCookingTools,"Кулинарный инструмент"
typeCorpses,"Трупы"
typeCraftingMisc,"Ремесло / Разное"
typeCrops,"Семена"
typeCrossbows,"Арбалеты"
typeCutting,"Резка | Шахтёрство"
typeDebris,"Мусор"
typeDecorMiscellaneous,"Разное"
typeDecor,"Декор"
typeDecorative,"Декор"
typeDigging,"Копка | Шахтёрство"
typeDiggingTools,"Инструмент для рытья"
typeDoors,"Дверь"
typeDrinks,"Напитки"
typeDrugs,"Лекарства"
typeDyeMods,"Краска"
typeElectrical,"Электрика"
typeElectricalTools,"Электромонтажный инструмент"
typeEmpty,"Пустое хранилище"
typeEnergyBatons,"Дубинка | Энергооружие"
typeEnergySledgehammers,"Кувалда | Энергооружие"
typeEnergySwords,"Меч | Энергооружие"
typeExplosives,"Взрывчатка"
typeFacewear,"Лицевая экипировка"
typeFences,"Забор"
typeFirearms,"Огнестрельное оружие"
typeFistWeapons,"Кулачное оружие"
typeFoliage,"Листва"
typeFood,"Еда"
typeFoodCooking,"Еда/Кулинария"
typeFurniture,"Фурнитура/Декор"
typeGardeningTools,"Садовый инструмент"
typeGrenades,"Граната"
typeGun,"Оружие"
typeGuns,"Оружие"
typeGyroCopters,"Гирокоптер | Транспорт"
typeHandTools,"Ручные инструменты"
typeHealth,"Здоровье"
typeHeavyArmor,"Тяжелая броня"
typeHelicopters,"Вертолет | Транспорт"
typeItem,"Предмет"
typeJunk,"Хлам"
typeKnives,"Нож"
typeLandMines,"Наземная мина | Строение"
typeLaunchers,"ПУ"
typeLightArmor,"Легкая броня"
typeLighting,"Освещение"
typeLoot,"Хранилище"
typeMedical,"Медицина"
typeMedicine,"Лекарства"
typeMediumArmor,"Средняя броня"
typeMelee,"Ближнее"
typeMeleeTools,"Орудие ближнего боя"
typeMeleeWeapons,"Оружие ближнего боя"
typeMachineGuns,"Автомат"
typeMinesExplosives,"Мины/взрывчатка"
typeMinibikes,"Мотоцикл | Транспорт"
typeMotorcycles,"Мотоцикл | Транспорт"
typeChoppingTools,"Инструмент для лесозаготовки"
typeMaintenance,"Обслуживание"
typeMiningTools,"Шахтерский инструмент"
typeMissions,"Предмет миссии"
typeMisc,"Разное"
typeMods,"Модификации"
typeModsArmor,"Мод брони"
typeModsHead,"Мод головной брони"
typeModsChainsaw,"Мод бензопилы"
typeModsChest,"Мод брони корпуса"
typeModsHands,"Мод перчаток"
typeModsFeet,"Мод обуви"
typeModsVehicle,"Мод транспорта"
typePainting,"Краска"
typePaintingTools,"Малярный инструмент"
typePistols,"Пистолет"
typePlumbing,"Сантехника"
typePolearms,"Древковое"
typePortableDrones,"Дрон"
typePortableTurrets,"Портативная турель"
typePosters,"Плакат"
typePowered,"Привод"
typePoweredCutting,"Привод | Рубка"
typePoweredDigging,"Привод | Копка"
typePoweredMining,"Привод | Шахтёрство"
typePoweredMiningDigging,"Привод | Шахтёрство | Копка"
typePowerGenerators,"Генератор"
typePowerStorage,"Хранилище энергии"
typeResearch,"Исследование"
typeQuality,"Качество"
typeQualitySchematics,"Исследование качества"
typeRandomHelper,"Случайный вариант"
typeRanged,"Даль"
typeRangedGuns,"Оружие"
typeRangedWeapons,"Оружие дальнего боя"
typeRecipes,"Рецепты"
typeResearchBooks,"Книга исследований"
typeResources,"Ресурсы"
typeRoadProps,"Дорожный декор"
typeRocketLaunchers,"ПУ"
typeSalvage,"Утилизация"
typeSalvageTools,"Инструмент для разборки"
typeScavenging,"Разборка"
typeSchematics,"Чертеж"
typeScience,"Наука"
typeSeeds,"Семена"
